DATETIME,ROOFTOP_PV_MW,PV_QUALITY_INDICATOR,OPERATIONAL_DEMAND_MW,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,DATE,MIN_TEMP_C,MAX_TEMP_C,RAINFALL_MM,SUNSHINE_HOURS,RH_9AM_PCT,CLOUD_9AM_OKTAS,RH_3PM_PCT,CLOUD_3PM_OKTAS,SOLAR_EXPOSURE_MJ_M2,YEAR,MONTH,MONTH_NAME,QUARTER,DAY_OF_WEEK,WEEKEND_FLAG,HOUR,MINUTE,HALF_HOUR_SLOT,SEASON,PV_LAG_1,DEMAND_LAG_1,PV_LAG_2,DEMAND_LAG_2,PV_LAG_4,DEMAND_LAG_4,DELTA_PV_MW,DELTA_DEMAND_MW,PV_RAMP_DIRECTION
2025-08-01 00:00:00,0.0,1.0,9109,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,0,0,00:00,Winter,0.0,9384.0,0.0,9726.0,0.0,10511.0,0.0,-275.0,No change
2025-08-01 00:30:00,0.0,1.0,8853,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,0,30,00:30,Winter,0.0,9109.0,0.0,9384.0,0.0,10133.0,0.0,-256.0,No change
2025-08-01 01:00:00,0.0,1.0,8644,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,1,0,01:00,Winter,0.0,8853.0,0.0,9109.0,0.0,9726.0,0.0,-209.0,No change
2025-08-01 01:30:00,0.0,1.0,8437,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,1,30,01:30,Winter,0.0,8644.0,0.0,8853.0,0.0,9384.0,0.0,-207.0,No change
2025-08-01 02:00:00,0.0,1.0,8223,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,2,0,02:00,Winter,0.0,8437.0,0.0,8644.0,0.0,9109.0,0.0,-214.0,No change
2025-08-01 02:30:00,0.0,1.0,7996,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,2,30,02:30,Winter,0.0,8223.0,0.0,8437.0,0.0,8853.0,0.0,-227.0,No change
2025-08-01 03:00:00,0.0,1.0,7835,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,3,0,03:00,Winter,0.0,7996.0,0.0,8223.0,0.0,8644.0,0.0,-161.0,No change
2025-08-01 03:30:00,0.0,1.0,7759,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,3,30,03:30,Winter,0.0,7835.0,0.0,7996.0,0.0,8437.0,0.0,-76.0,No change
2025-08-01 04:00:00,0.0,1.0,7830,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,4,0,04:00,Winter,0.0,7759.0,0.0,7835.0,0.0,8223.0,0.0,71.0,No change
2025-08-01 04:30:00,0.0,1.0,7917,0,0,2025-08-01 00:00:00,8.3,14.2,2.6,0.0,86.0,7.0,82.0,7.0,7.4,2025,8,August,Q3,Friday,0,4,30,04:30,Winter,0.0,7830.0,0.0,7759.0,0.0,7996.0,0.0,87.0,No change
