Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066037,2026,01,01,20.6,1,N
IDCJAC0010,066037,2026,01,02,24.1,1,N
IDCJAC0010,066037,2026,01,03,26.5,1,N
IDCJAC0010,066037,2026,01,04,30.7,1,N
IDCJAC0010,066037,2026,01,05,26.6,1,N
IDCJAC0010,066037,2026,01,06,27.9,1,N
IDCJAC0010,066037,2026,01,07,32.0,1,N
IDCJAC0010,066037,2026,01,08,34.0,1,N
IDCJAC0010,066037,2026,01,09,33.5,1,N
IDCJAC0010,066037,2026,01,10,42.7,1,N
IDCJAC0010,066037,2026,01,11,21.9,1,N
IDCJAC0010,066037,2026,01,12,22.4,1,N
IDCJAC0010,066037,2026,01,13,28.0,1,N
IDCJAC0010,066037,2026,01,14,28.4,1,N
IDCJAC0010,066037,2026,01,15,27.3,1,N
IDCJAC0010,066037,2026,01,16,24.2,1,N
IDCJAC0010,066037,2026,01,17,24.3,1,N
IDCJAC0010,066037,2026,01,18,26.5,1,N
IDCJAC0010,066037,2026,01,19,26.0,1,N
IDCJAC0010,066037,2026,01,20,25.3,1,N
IDCJAC0010,066037,2026,01,21,25.2,1,N
IDCJAC0010,066037,2026,01,22,23.5,1,N
IDCJAC0010,066037,2026,01,23,23.8,1,N
IDCJAC0010,066037,2026,01,24,27.8,1,N
IDCJAC0010,066037,2026,01,25,39.7,1,N
IDCJAC0010,066037,2026,01,26,23.7,1,N
IDCJAC0010,066037,2026,01,27,27.3,1,N
IDCJAC0010,066037,2026,01,28,28.8,1,N
IDCJAC0010,066037,2026,01,29,29.0,1,N
IDCJAC0010,066037,2026,01,30,29.9,1,N
IDCJAC0010,066037,2026,01,31,30.5,1,N
IDCJAC0010,066037,2026,02,01,26.9,1,N
IDCJAC0010,066037,2026,02,02,20.9,1,N
IDCJAC0010,066037,2026,02,03,24.9,1,N
IDCJAC0010,066037,2026,02,04,28.2,1,N
IDCJAC0010,066037,2026,02,05,37.4,1,N
IDCJAC0010,066037,2026,02,06,30.4,1,N
IDCJAC0010,066037,2026,02,07,33.1,1,N
IDCJAC0010,066037,2026,02,08,24.8,1,N
IDCJAC0010,066037,2026,02,09,29.0,1,N
IDCJAC0010,066037,2026,02,10,28.5,1,N
IDCJAC0010,066037,2026,02,11,34.1,1,N
IDCJAC0010,066037,2026,02,12,23.6,1,N
IDCJAC0010,066037,2026,02,13,21.9,1,N
IDCJAC0010,066037,2026,02,14,24.8,1,N
IDCJAC0010,066037,2026,02,15,22.6,1,N
IDCJAC0010,066037,2026,02,16,26.1,1,N
IDCJAC0010,066037,2026,02,17,28.4,1,N
IDCJAC0010,066037,2026,02,18,36.6,1,N
IDCJAC0010,066037,2026,02,19,28.3,1,N
IDCJAC0010,066037,2026,02,20,27.4,1,N
IDCJAC0010,066037,2026,02,21,32.6,1,N
IDCJAC0010,066037,2026,02,22,35.9,1,N
IDCJAC0010,066037,2026,02,23,26.6,1,N
IDCJAC0010,066037,2026,02,24,31.4,1,N
IDCJAC0010,066037,2026,02,25,28.4,1,N
IDCJAC0010,066037,2026,02,26,24.6,1,N
IDCJAC0010,066037,2026,02,27,25.8,1,N
IDCJAC0010,066037,2026,02,28,27.3,1,N
IDCJAC0010,066037,2026,03,01,26.8,1,N
IDCJAC0010,066037,2026,03,02,28.9,1,N
IDCJAC0010,066037,2026,03,03,26.2,1,N
IDCJAC0010,066037,2026,03,04,30.0,1,N
IDCJAC0010,066037,2026,03,05,29.4,1,N
IDCJAC0010,066037,2026,03,06,26.3,1,N
IDCJAC0010,066037,2026,03,07,29.7,1,N
IDCJAC0010,066037,2026,03,08,23.5,1,N
IDCJAC0010,066037,2026,03,09,25.3,1,N
IDCJAC0010,066037,2026,03,10,25.6,1,N
IDCJAC0010,066037,2026,03,11,29.7,1,N
IDCJAC0010,066037,2026,03,12,25.0,1,N
IDCJAC0010,066037,2026,03,13,21.7,1,N
IDCJAC0010,066037,2026,03,14,25.0,1,N
IDCJAC0010,066037,2026,03,15,27.4,1,N
IDCJAC0010,066037,2026,03,16,29.5,1,N
IDCJAC0010,066037,2026,03,17,30.5,1,N
IDCJAC0010,066037,2026,03,18,23.0,1,N
IDCJAC0010,066037,2026,03,19,25.9,1,N
IDCJAC0010,066037,2026,03,20,25.1,1,N
IDCJAC0010,066037,2026,03,21,27.4,1,N
IDCJAC0010,066037,2026,03,22,27.1,1,N
IDCJAC0010,066037,2026,03,23,26.8,1,N
IDCJAC0010,066037,2026,03,24,27.5,1,N
IDCJAC0010,066037,2026,03,25,28.9,1,N
IDCJAC0010,066037,2026,03,26,30.9,1,N
IDCJAC0010,066037,2026,03,27,17.5,1,N
IDCJAC0010,066037,2026,03,28,20.9,1,N
IDCJAC0010,066037,2026,03,29,21.9,1,N
IDCJAC0010,066037,2026,03,30,24.2,1,N
IDCJAC0010,066037,2026,03,31,25.6,1,N
IDCJAC0010,066037,2026,04,01,26.8,1,N
IDCJAC0010,066037,2026,04,02,27.5,1,N
IDCJAC0010,066037,2026,04,03,23.5,1,N
IDCJAC0010,066037,2026,04,04,20.4,1,N
IDCJAC0010,066037,2026,04,05,22.1,1,N
IDCJAC0010,066037,2026,04,06,22.5,1,N
IDCJAC0010,066037,2026,04,07,29.6,1,N
IDCJAC0010,066037,2026,04,08,26.2,1,N
IDCJAC0010,066037,2026,04,09,30.5,1,N
IDCJAC0010,066037,2026,04,10,29.8,1,N
IDCJAC0010,066037,2026,04,11,25.1,1,N
IDCJAC0010,066037,2026,04,12,21.4,1,N
IDCJAC0010,066037,2026,04,13,22.2,1,N
IDCJAC0010,066037,2026,04,14,23.5,1,N
IDCJAC0010,066037,2026,04,15,25.5,1,N
IDCJAC0010,066037,2026,04,16,28.5,1,N
IDCJAC0010,066037,2026,04,17,27.0,1,N
IDCJAC0010,066037,2026,04,18,19.2,1,N
IDCJAC0010,066037,2026,04,19,20.3,1,N
IDCJAC0010,066037,2026,04,20,20.8,1,N
IDCJAC0010,066037,2026,04,21,20.4,1,N
IDCJAC0010,066037,2026,04,22,22.7,1,N
IDCJAC0010,066037,2026,04,23,23.0,1,N
IDCJAC0010,066037,2026,04,24,22.6,1,N
IDCJAC0010,066037,2026,04,25,25.2,1,N
IDCJAC0010,066037,2026,04,26,24.7,1,N
IDCJAC0010,066037,2026,04,27,25.0,1,N
IDCJAC0010,066037,2026,04,28,24.9,1,N
IDCJAC0010,066037,2026,04,29,25.5,1,N
IDCJAC0010,066037,2026,04,30,25.0,1,N
IDCJAC0010,066037,2026,05,01,23.7,1,N
IDCJAC0010,066037,2026,05,02,25.4,1,N
IDCJAC0010,066037,2026,05,03,25.6,1,N
IDCJAC0010,066037,2026,05,04,22.1,1,N
IDCJAC0010,066037,2026,05,05,23.7,1,N
IDCJAC0010,066037,2026,05,06,21.7,1,N
IDCJAC0010,066037,2026,05,07,18.7,1,N
IDCJAC0010,066037,2026,05,08,21.0,1,N
IDCJAC0010,066037,2026,05,09,20.0,1,N
IDCJAC0010,066037,2026,05,10,21.6,1,N
IDCJAC0010,066037,2026,05,11,22.0,1,N
IDCJAC0010,066037,2026,05,12,22.2,1,N
IDCJAC0010,066037,2026,05,13,19.3,1,N
IDCJAC0010,066037,2026,05,14,21.1,1,N
IDCJAC0010,066037,2026,05,15,19.8,1,N
IDCJAC0010,066037,2026,05,16,21.1,1,N
IDCJAC0010,066037,2026,05,17,21.3,1,N
IDCJAC0010,066037,2026,05,18,19.9,1,N
IDCJAC0010,066037,2026,05,19,20.2,1,N
IDCJAC0010,066037,2026,05,20,18.7,1,N
IDCJAC0010,066037,2026,05,21,18.2,1,N
IDCJAC0010,066037,2026,05,22,19.7,1,N
IDCJAC0010,066037,2026,05,23,20.2,1,N
IDCJAC0010,066037,2026,05,24,19.1,1,N
IDCJAC0010,066037,2026,05,25,20.1,1,N
IDCJAC0010,066037,2026,05,26,19.2,1,N
IDCJAC0010,066037,2026,05,27,22.2,1,N
IDCJAC0010,066037,2026,05,28,20.2,1,N
IDCJAC0010,066037,2026,05,29,19.6,1,N
IDCJAC0010,066037,2026,05,30,20.9,1,N
IDCJAC0010,066037,2026,05,31,20.3,1,N
IDCJAC0010,066037,2026,06,01,18.7,1,N
IDCJAC0010,066037,2026,06,02,19.1,1,N
IDCJAC0010,066037,2026,06,03,21.6,1,N
IDCJAC0010,066037,2026,06,04,20.3,1,N
IDCJAC0010,066037,2026,06,05,18.1,1,N
IDCJAC0010,066037,2026,06,06,18.5,1,N
IDCJAC0010,066037,2026,06,07,19.9,1,N
IDCJAC0010,066037,2026,06,08,20.2,1,N
IDCJAC0010,066037,2026,06,09,21.0,1,N
IDCJAC0010,066037,2026,06,10,23.6,1,N
IDCJAC0010,066037,2026,06,11,20.3,1,N
IDCJAC0010,066037,2026,06,12,19.6,1,N
IDCJAC0010,066037,2026,06,13,23.3,1,N
IDCJAC0010,066037,2026,06,14,21.9,1,N
IDCJAC0010,066037,2026,06,15,19.6,1,N
IDCJAC0010,066037,2026,06,16,22.1,1,N
IDCJAC0010,066037,2026,06,17,20.5,1,N
IDCJAC0010,066037,2026,06,18,21.9,1,N
IDCJAC0010,066037,2026,06,19,22.5,1,N
IDCJAC0010,066037,2026,06,20,21.5,1,N
IDCJAC0010,066037,2026,06,21,18.7,1,N
IDCJAC0010,066037,2026,06,22,17.2,1,N
IDCJAC0010,066037,2026,06,23,16.9,1,N
IDCJAC0010,066037,2026,06,24,18.2,1,N
IDCJAC0010,066037,2026,06,25,15.4,1,N
IDCJAC0010,066037,2026,06,26,15.0,1,N
IDCJAC0010,066037,2026,06,27,16.2,1,N
IDCJAC0010,066037,2026,06,28,16.1,1,N
IDCJAC0010,066037,2026,06,29,18.8,1,N
IDCJAC0010,066037,2026,06,30,18.8,1,N
IDCJAC0010,066037,2026,07,01,21.3,1,N
IDCJAC0010,066037,2026,07,02,23.5,1,N
IDCJAC0010,066037,2026,07,03,20.0,1,N
