Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066024,2025,01,01,30.3
IDCJAC0016,066024,2025,01,02,11.4
IDCJAC0016,066024,2025,01,03,15.2
IDCJAC0016,066024,2025,01,04,30.7
IDCJAC0016,066024,2025,01,05,25.9
IDCJAC0016,066024,2025,01,06,28.1
IDCJAC0016,066024,2025,01,07,6.6
IDCJAC0016,066024,2025,01,08,6.6
IDCJAC0016,066024,2025,01,09,18.5
IDCJAC0016,066024,2025,01,10,17.6
IDCJAC0016,066024,2025,01,11,21.6
IDCJAC0016,066024,2025,01,12,27.1
IDCJAC0016,066024,2025,01,13,24.4
IDCJAC0016,066024,2025,01,14,22.2
IDCJAC0016,066024,2025,01,15,25.9
IDCJAC0016,066024,2025,01,16,9.1
IDCJAC0016,066024,2025,01,17,8.5
IDCJAC0016,066024,2025,01,18,16.4
IDCJAC0016,066024,2025,01,19,21.1
IDCJAC0016,066024,2025,01,20,30.5
IDCJAC0016,066024,2025,01,21,28.3
IDCJAC0016,066024,2025,01,22,21.2
IDCJAC0016,066024,2025,01,23,21.1
IDCJAC0016,066024,2025,01,24,25.5
IDCJAC0016,066024,2025,01,25,29.0
IDCJAC0016,066024,2025,01,26,19.2
IDCJAC0016,066024,2025,01,27,27.3
IDCJAC0016,066024,2025,01,28,22.0
IDCJAC0016,066024,2025,01,29,16.3
IDCJAC0016,066024,2025,01,30,11.9
IDCJAC0016,066024,2025,01,31,20.1
IDCJAC0016,066024,2025,02,01,19.5
IDCJAC0016,066024,2025,02,02,27.5
IDCJAC0016,066024,2025,02,03,27.6
IDCJAC0016,066024,2025,02,04,26.9
IDCJAC0016,066024,2025,02,05,21.7
IDCJAC0016,066024,2025,02,06,25.0
IDCJAC0016,066024,2025,02,07,28.5
IDCJAC0016,066024,2025,02,08,20.2
IDCJAC0016,066024,2025,02,09,25.3
IDCJAC0016,066024,2025,02,10,8.1
IDCJAC0016,066024,2025,02,11,23.1
IDCJAC0016,066024,2025,02,12,26.2
IDCJAC0016,066024,2025,02,13,25.9
IDCJAC0016,066024,2025,02,14,8.8
IDCJAC0016,066024,2025,02,15,25.3
IDCJAC0016,066024,2025,02,16,27.1
IDCJAC0016,066024,2025,02,17,26.9
IDCJAC0016,066024,2025,02,18,25.1
IDCJAC0016,066024,2025,02,19,23.0
IDCJAC0016,066024,2025,02,20,13.8
IDCJAC0016,066024,2025,02,21,11.2
IDCJAC0016,066024,2025,02,22,23.1
IDCJAC0016,066024,2025,02,23,23.3
IDCJAC0016,066024,2025,02,24,25.2
IDCJAC0016,066024,2025,02,25,6.1
IDCJAC0016,066024,2025,02,26,21.2
IDCJAC0016,066024,2025,02,27,24.7
IDCJAC0016,066024,2025,02,28,22.0
IDCJAC0016,066024,2025,03,01,23.7
IDCJAC0016,066024,2025,03,02,14.0
IDCJAC0016,066024,2025,03,03,18.4
IDCJAC0016,066024,2025,03,04,19.7
IDCJAC0016,066024,2025,03,05,20.8
IDCJAC0016,066024,2025,03,06,17.4
IDCJAC0016,066024,2025,03,07,18.0
IDCJAC0016,066024,2025,03,08,13.7
IDCJAC0016,066024,2025,03,09,19.5
IDCJAC0016,066024,2025,03,10,12.1
IDCJAC0016,066024,2025,03,11,6.7
IDCJAC0016,066024,2025,03,12,17.5
IDCJAC0016,066024,2025,03,13,22.6
IDCJAC0016,066024,2025,03,14,22.4
IDCJAC0016,066024,2025,03,15,20.2
IDCJAC0016,066024,2025,03,16,16.2
IDCJAC0016,066024,2025,03,17,21.5
IDCJAC0016,066024,2025,03,18,14.6
IDCJAC0016,066024,2025,03,19,19.5
IDCJAC0016,066024,2025,03,20,21.0
IDCJAC0016,066024,2025,03,21,10.4
IDCJAC0016,066024,2025,03,22,13.2
IDCJAC0016,066024,2025,03,23,4.0
IDCJAC0016,066024,2025,03,24,11.3
IDCJAC0016,066024,2025,03,25,13.8
IDCJAC0016,066024,2025,03,26,16.3
IDCJAC0016,066024,2025,03,27,13.0
IDCJAC0016,066024,2025,03,28,10.3
IDCJAC0016,066024,2025,03,29,4.8
IDCJAC0016,066024,2025,03,30,15.5
IDCJAC0016,066024,2025,03,31,13.2
IDCJAC0016,066024,2025,04,01,17.2
IDCJAC0016,066024,2025,04,02,17.3
IDCJAC0016,066024,2025,04,03,18.6
IDCJAC0016,066024,2025,04,04,16.2
IDCJAC0016,066024,2025,04,05,18.2
IDCJAC0016,066024,2025,04,06,15.9
IDCJAC0016,066024,2025,04,07,17.9
IDCJAC0016,066024,2025,04,08,11.3
IDCJAC0016,066024,2025,04,09,13.0
IDCJAC0016,066024,2025,04,10,11.5
IDCJAC0016,066024,2025,04,11,17.2
IDCJAC0016,066024,2025,04,12,16.5
IDCJAC0016,066024,2025,04,13,15.9
IDCJAC0016,066024,2025,04,14,16.0
IDCJAC0016,066024,2025,04,15,11.2
IDCJAC0016,066024,2025,04,16,13.4
IDCJAC0016,066024,2025,04,17,13.7
IDCJAC0016,066024,2025,04,18,16.0
IDCJAC0016,066024,2025,04,19,15.9
IDCJAC0016,066024,2025,04,20,15.7
