Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),SOURCE_FILE
1/08/2025,8.3,14.2,2.6,3,0,SSE,50,15:07,11.3,86,7,SSW,24,1023.7,13.7,82,7,SSW,33,1020.5,IDCJDW2125.202508.csv
2/08/2025,11.2,17.5,22.2,0.6,0,SE,80,18:52,13.1,93,8,SE,13,1020.6,15.4,87,8,SE,43,1016.9,IDCJDW2125.202508.csv
3/08/2025,12.6,16.5,8.6,4.6,0.8,SE,63,1:40,15.1,86,8,SSE,37,1021.5,14.9,96,8,S,30,1021.1,IDCJDW2125.202508.csv
4/08/2025,12.8,17.3,28.4,3.6,6.7,SW,43,6:22,14.8,96,6,SSW,7,1023.2,16.7,84,6,SSE,15,1020.5,IDCJDW2125.202508.csv
5/08/2025,10.6,22.6,1,2.4,6.7,W,39,22:09,12.4,96,3,WNW,20,1018.7,21.7,40,3,WNW,13,1015,IDCJDW2125.202508.csv
6/08/2025,9.9,19.2,0,2.8,9.6,W,44,11:22,13.4,55,2,W,31,1020.9,18.5,33,1,WSW,19,1019.3,IDCJDW2125.202508.csv
7/08/2025,9.9,15.9,1.4,3.2,1.3,SSW,44,6:36,12.6,92,7,WSW,15,1028.2,15.5,62,6,SSE,28,1028.2,IDCJDW2125.202508.csv
8/08/2025,9.2,16.6,0,2.2,5.4,SSW,48,21:19,13.4,77,7,WSW,11,1033.1,15.1,74,8,S,26,1031.3,IDCJDW2125.202508.csv
9/08/2025,12,16,50.6,2,4.2,S,48,16:13,13.2,96,8,SSW,28,1032.8,14.3,89,6,S,15,1029.6,IDCJDW2125.202508.csv
10/08/2025,11.2,16.2,26.8,3.6,1.3,SE,50,17:31,13.1,92,7,SSW,20,1029.3,13.7,89,7,SSW,24,1027.4,IDCJDW2125.202508.csv
11/08/2025,10.5,14.9,18.6,1.6,2.8,SSW,41,6:22,11.8,94,7,S,15,1028.4,14,76,7,E,13,1025.9,IDCJDW2125.202508.csv
12/08/2025,7.6,16.5,5.4,1.4,9.5,S,30,13:41,12.1,76,1,WNW,15,1026.2,16,70,3,S,19,1023.8,IDCJDW2125.202508.csv
13/08/2025,8.5,,0,1.6,6.7,SSW,50,20:28,12.9,76,1,NW,13,1025.7,17.5,54,8,SE,17,1023.2,IDCJDW2125.202508.csv
14/08/2025,11.4,14.2,23.2,1.6,0,S,56,0:18,12.9,76,6,SSW,30,1026,12.7,96,8,SSW,20,1024.9,IDCJDW2125.202508.csv
15/08/2025,10.1,19.8,16,0.8,8.1,NNW,28,13:38,13.7,90,3,NNW,7,1022.1,19.1,57,7,NNW,13,1016.4,IDCJDW2125.202508.csv
16/08/2025,10.4,18.6,0,1,8.2,WSW,46,16:17,14.8,65,1,SW,11,1013.5,17.9,37,5,WSW,26,1010.5,IDCJDW2125.202508.csv
